item_id,location,quality,timestamp,item_count,avg_price
T4_BAG,Black Market,1,2026-05-19T23:00:00,9,4307
T4_BAG,Black Market,1,2026-05-20T00:00:00,1,4424
T4_BAG,Black Market,1,2026-05-20T01:00:00,24,4434
T4_BAG,Black Market,1,2026-05-20T02:00:00,203,4457
T4_BAG,Black Market,1,2026-05-20T04:00:00,1,3950
T4_BAG,Black Market,1,2026-05-20T05:00:00,191,4449
T4_BAG,Black Market,1,2026-05-20T06:00:00,140,4468
T4_BAG,Black Market,1,2026-05-20T07:00:00,26,4332
T4_BAG,Black Market,1,2026-05-20T08:00:00,82,4491
T4_BAG,Black Market,1,2026-05-20T10:00:00,38,4544
T4_BAG,Black Market,1,2026-05-20T11:00:00,176,4582
T4_BAG,Black Market,1,2026-05-20T12:00:00,57,4797
T4_BAG,Black Market,1,2026-05-20T13:00:00,12,4781
T4_BAG,Black Market,1,2026-05-20T14:00:00,149,1600
T4_BAG,Black Market,1,2026-05-20T15:00:00,118,4845
T4_BAG,Black Market,1,2026-05-20T16:00:00,60,4225
T4_BAG,Black Market,1,2026-05-20T17:00:00,154,4091
T4_BAG,Black Market,1,2026-05-20T18:00:00,234,4359
T4_BAG,Black Market,1,2026-05-20T19:00:00,406,4828
T4_BAG,Black Market,1,2026-05-20T20:00:00,34,4870
T4_BAG,Black Market,1,2026-05-20T21:00:00,10,4584
T4_BAG,Black Market,1,2026-05-20T22:00:00,97,4888
T4_BAG,Black Market,1,2026-05-20T23:00:00,196,4919
T4_BAG,Black Market,1,2026-05-21T00:00:00,31,5056
T4_BAG,Black Market,1,2026-05-21T01:00:00,3,5056
T4_BAG,Black Market,1,2026-05-21T02:00:00,78,5121
T4_BAG,Black Market,1,2026-05-21T03:00:00,55,5133
T4_BAG,Black Market,1,2026-05-21T04:00:00,19,5093
T4_BAG,Black Market,1,2026-05-21T05:00:00,27,5214
T4_BAG,Black Market,1,2026-05-21T06:00:00,49,5311
T4_BAG,Black Market,1,2026-05-21T07:00:00,60,5345
T4_BAG,Black Market,1,2026-05-21T08:00:00,262,5375
T4_BAG,Black Market,1,2026-05-21T09:00:00,2,3634
T4_BAG,Black Market,1,2026-05-21T10:00:00,133,4476
T4_BAG,Black Market,1,2026-05-21T11:00:00,435,5374
T4_BAG,Black Market,1,2026-05-21T12:00:00,3,4529
T4_BAG,Black Market,1,2026-05-21T13:00:00,175,5297
T4_BAG,Black Market,1,2026-05-21T14:00:00,54,5161
T4_BAG,Black Market,1,2026-05-21T15:00:00,488,5347
T4_BAG,Black Market,1,2026-05-21T16:00:00,3,4845
T4_BAG,Black Market,1,2026-05-21T17:00:00,244,4582
T4_BAG,Black Market,1,2026-05-21T18:00:00,195,5418
T4_BAG,Black Market,1,2026-05-21T19:00:00,4,5095
T4_BAG,Black Market,1,2026-05-21T20:00:00,51,5317
T4_BAG,Black Market,1,2026-05-21T21:00:00,2,3397
T4_BAG,Black Market,1,2026-05-21T22:00:00,12,4684
T4_BAG,Black Market,1,2026-05-21T23:00:00,1,4898
T4_BAG,Black Market,1,2026-05-22T00:00:00,116,5468
T4_BAG,Black Market,1,2026-05-22T01:00:00,86,4578
T4_BAG,Black Market,1,2026-05-22T02:00:00,1,3160
T4_BAG,Black Market,1,2026-05-22T03:00:00,151,3989
T4_BAG,Black Market,1,2026-05-22T04:00:00,159,3995
T4_BAG,Black Market,1,2026-05-22T05:00:00,1,3950
T4_BAG,Black Market,1,2026-05-22T06:00:00,75,3999
T4_BAG,Black Market,1,2026-05-22T07:00:00,177,3982
T4_BAG,Black Market,1,2026-05-22T09:00:00,15,3498
T4_BAG,Black Market,1,2026-05-22T10:00:00,430,3773
T4_BAG,Black Market,1,2026-05-22T11:00:00,15,3601
T4_BAG,Black Market,1,2026-05-22T12:00:00,48,3432
T4_BAG,Black Market,1,2026-05-22T13:00:00,19,3296
T4_BAG,Black Market,1,2026-05-22T14:00:00,71,3485
T4_BAG,Black Market,1,2026-05-22T15:00:00,505,3697
T4_BAG,Black Market,1,2026-05-22T16:00:00,3,2580
T4_BAG,Black Market,1,2026-05-22T17:00:00,169,3696
T4_BAG,Black Market,1,2026-05-22T18:00:00,100,3994
T4_BAG,Black Market,1,2026-05-22T19:00:00,7,3821
T4_BAG,Black Market,1,2026-05-22T20:00:00,2,3950
T4_BAG,Black Market,1,2026-05-22T21:00:00,62,4118
